work_order_id,cluster
WO-0001079,-1
WO-0001080,-1
WO-0001081,-1
WO-0001082,-1
WO-0001083,-1
WO-0001084,-1
WO-0001085,-1
WO-0001086,-1
WO-0001087,-1
WO-0001088,-1
WO-0001089,-1
WO-0001090,-1
WO-0001091,-1
WO-0001092,-1
WO-0001093,-1
WO-0001094,-1
WO-0001095,-1
WO-0001096,-1
WO-0001097,-1
WO-0001098,-1
WO-0001099,-1
WO-0001100,0
WO-0001101,-1
WO-0001102,-1
WO-0001103,-1
WO-0001104,-1
WO-0001105,-1
WO-0001106,-1
WO-0001107,-1
WO-0001108,-1
WO-0001109,0
WO-0001110,-1
WO-0001111,-1
WO-0001112,-1
WO-0001113,0
WO-0001114,-1
WO-0001115,-1
WO-0001116,0
WO-0001117,0
WO-0001118,-1
WO-0001119,-1
WO-0001120,0
WO-0001121,-1
WO-0001122,-1
WO-0001123,0
WO-0001124,-1
WO-0001125,-1
WO-0001126,-1
WO-0001127,-1
WO-0001128,-1
WO-0001129,-1
WO-0001130,-1
WO-0001131,-1
WO-0001132,-1
WO-0001133,0
WO-0001134,-1
WO-0001135,-1
WO-0001136,-1
WO-0001137,-1
WO-0001138,0
WO-0001139,-1
WO-0001140,-1
WO-0001141,-1
WO-0001142,-1
WO-0001143,-1
WO-0001144,-1
WO-0001145,-1
WO-0001146,-1
WO-0001147,-1
WO-0001148,-1
WO-0001149,-1
WO-0001150,-1
WO-0001151,-1
WO-0001152,-1
WO-0001153,-1
WO-0001154,-1
WO-0001155,-1
WO-0001156,-1
WO-0001157,-1
WO-0001158,0
WO-0001159,-1
WO-0001160,-1
WO-0001161,-1
WO-0001162,-1
WO-0001163,-1
WO-0001164,-1
WO-0001165,-1
WO-0001166,-1
WO-0001167,-1
WO-0001168,0
WO-0001169,-1
WO-0001170,-1
WO-0001171,-1
WO-0001172,-1
WO-0001173,-1
WO-0001174,-1
WO-0001175,-1
WO-0001176,-1
WO-0001177,-1
WO-0001178,-1
WO-0001179,-1
WO-0001180,-1
WO-0001181,-1
WO-0001182,0
WO-0001183,-1
WO-0001184,0
WO-0001185,-1
WO-0001186,-1
WO-0001187,-1
WO-0001188,-1
WO-0001189,-1
WO-0001190,-1
WO-0001191,-1
WO-0001192,0
WO-0001193,-1
WO-0001194,-1
WO-0001195,-1
WO-0001196,-1
WO-0001197,-1
WO-0001198,-1
WO-0001199,-1
WO-0001200,-1
WO-0001201,-1
WO-0001202,0
WO-0001203,0
WO-0001204,-1
WO-0001205,-1
WO-0001206,-1
WO-0001207,-1
WO-0001208,-1
WO-0001209,-1
WO-0001210,-1
WO-0001211,-1
WO-0001212,-1
WO-0001213,-1
WO-0001214,-1
WO-0001215,0
WO-0001216,-1
WO-0001217,-1
WO-0001218,-1
WO-0001219,-1
WO-0001220,-1
WO-0001221,0
WO-0001222,-1
WO-0001223,-1
WO-0001224,-1
WO-0001225,-1
WO-0001226,-1
WO-0001227,-1
WO-0001228,-1
WO-0001229,-1
WO-0001230,-1
WO-0001231,0
WO-0001232,-1
WO-0001233,0
WO-0001234,-1
WO-0001235,-1
WO-0001236,-1
WO-0001237,-1
WO-0001238,0
WO-0001239,0
WO-0001240,-1
WO-0001241,-1
WO-0001242,-1
WO-0001243,-1
WO-0001244,0
WO-0001245,-1
WO-0001246,-1
WO-0001247,-1
WO-0001248,-1
WO-0001249,-1
WO-0001250,-1
WO-0001251,-1
WO-0001252,-1
WO-0001253,-1
WO-0001254,0
WO-0001255,-1
WO-0001256,-1
WO-0001257,-1
WO-0001258,-1
WO-0001259,0
WO-0001260,-1
WO-0001261,-1
WO-0001262,-1
WO-0001263,-1
WO-0001264,-1
WO-0001265,-1
WO-0001266,-1
WO-0001267,-1
WO-0001268,-1
WO-0001269,-1
WO-0001270,-1
WO-0001271,-1
WO-0001272,-1
WO-0001273,-1
WO-0001274,-1
WO-0001275,-1
WO-0001276,-1
WO-0001277,-1
WO-0001278,-1
WO-0001279,-1
WO-0001280,-1
WO-0001281,-1
WO-0001282,-1
WO-0001283,-1
WO-0001284,-1
WO-0001285,-1
WO-0001286,-1
WO-0001287,-1
WO-0001288,-1
WO-0001289,-1
